date,message
2024-10-22T21:01:02,"Ищем 4-ю девушку на подселение. ЖК Аниса-2. В квартире есть все необходимое. В месяц 55 тысяч без коммуналки (депозит 50тыс), евродвушка (43км2). Ищем добропорядочную, чистоплотную и платежеспособную девушку. Для более подробной информации оставьте +"
2024-10-22T21:00:38,"ищу девушку к себе на подселение 
живу одна , без вредных привычек 

дом бизнес+ класса , 150.000 
все условия 
оставьте + напишу вам сама (обо всем подробнее)"
2024-10-22T21:00:19,"Ищу одну девочку на подселение, будем жить втроём.
Жк рядом с универом (25 минут пешом/15 минут на автобусе/6-7 минут на машине), 2 комнатная новая кв, есть интернет, рядом с домом все удобства, кафешки, магазины, тд.
Сама я неконфликтная, дружелюбная
65к в месяц (с учетом ком услуг) 
Если заинтересованы, пишите в лс @ishmurdinova"
2024-10-22T20:31:08,"Ищу к кому подселиться на долгий срок, в пределах 70-80к. О себе: девушка, 4 курс , вредных привычек не имею. Большую часть времени нахожусь в универе. Оставьте + сама напишу"
2024-10-22T20:22:47,"Нужна соседка  
70тыс +ком.услуги. Квартира однокомнатная , вдвоем жить.
Мухамедханова 15 , пишите в комм +"
2024-10-22T19:18:49,"Нужен сожитель, 50к+ком.услуги. Квартира двухкомнатная, нас 4 будет.

Жагалау-3, минут 5-10 на автобусе"
2024-10-22T19:13:42,"Ищу одну девушку на подселение. 
Жк сеным, в 5минутах до мну. 2х комнатная квартира, будем жить 4ом, в одной комнате по двое. 
Оплата 62500 комм услуга внутри. 
Неконфликтная, без вредных привычек должна быть, чтобы не курила, не парила, не пила.

87767135636 Айгуль, пишите в тг или ватсап"
2024-10-22T01:00:03,"Ищу 2 девушек на подселение. 
Чистоплотных, платежеспособных, неконфликтных. 
Жк Манхэттен 90к + ком.услуги
1 комнатная квартира, все условия есть.В 15-20 минутах ходьбы до уника.
Заселение с ноября. 
Оставьте +, я вам напишу."
2024-10-21T19:56:29,"Всем привет! Ищу девушку 2-3 курс на подселение рядом с  универом. Мухамедханова 15 , остальное в личку. Однокомнатная квартира. Оплата 70 тыс месяц с каждой и ком услуги выходят 4-5 тыс. 
очень срочно!!!
напишите в комм!!"
2024-10-21T18:04:10,"Ищем 2 девушек на подселение ЖК «Сенім», буквально 5 минут до уника. Заселяться можно уже завтра, желательно до конца этого месяца. Будем жить в четвером, бюджет с каждого 40к + комуслуги (5к депозит с каждого). Оставьте + в комментариях, напишу сама🙌"
2024-10-20T20:11:46,"Всем привет ! Срочно ищу 4 девушку на подселение . 
Двушка 70кв2, рядои с казгюу ,15минут ходьбы . 
Заселение сегодня или завтра хоть . 
Ремон евро , интернет есть . 
Дома так же есть кошка . 
Напишите + , откликнусь"
2024-10-20T14:05:24,"Всем привет
Ищу к кому (к девушкам) подселиться
критерии: близко к мну, бюджет до 90к, желательно жить вдвоем

Сама платежеспособная, чистоплотная, неконфликтная
Оставьте плюс, сама напишу"
2024-10-19T23:17:45,"Ищем 4-ую девушку на подселение. 15 минут пешком до универа, 55к в месяц, комуслуга включена. 2 комнатная кв с хорошим ремонтом. 
Важно чтоб была чистоплотная❗️, платежеспособная, не конфликтная, так как мы сами спокойные, уважающая личные границы. ЗАСЕЛЕНИЕ можно в ближайшее время, в конце месяца. Напишите +, я сама вам напишу☺️"
2024-10-19T21:54:04,"Ищу одну девушку на подселение. 
Жк сеным, в 5минутах до мну. 2х комнатная квартира, будем жить 4ом, в одной комнате по двое. 
Оплата 62500 комм услуга внутри. 
Неконфликтная, без вредных привычек должна быть, чтобы не курила, не парила, не пила.

87767135636 Айгуль, пишите в тг или ватсап"
2024-10-19T21:44:10,"Ищу 4ую девочку на подселение, заселение 24 октября. Квартира напротив КАЗГЮУ, жк Сеним. Оплата 62500 ,комм услуги входят в сумму. Оставьте плюс в комменты, напишу"
2024-10-18T19:13:08,"Ищу 2 девушек на подселение. 
Чистоплотных, платежеспособных, неконфликтных. 
Жк Сеным, 63к + ком.услуги
2 комнатная студия, все условия есть. 
Заселение с ноября. 
Оставьте +, я вам напишу."
2024-10-18T19:12:43,"всем салам. ищу к кому подселится или с кем вместе снять кв. классно готовлю, неконфликтный, платежеспособный, в поисках похожего соседа."
2024-10-18T19:12:24,"Всем привет , ищу двух девушкк к себе на подселение . 
Жк Сат сити , рядом с уриверситетом . 
Нас 2 , мну 2 курс 
Заселение желательно до конца месяца . 
Квартира чистая , новая , ремонт евро . Интернет все есть. Полноценная двушка. (70кв2м) 
Работаем и учимся . 
Можете написать + , сама вам напишу"
2024-10-17T23:45:55,"Ищу 1 девушку на подселение 
будем жить вдвоем 
2х комнатная квартира, жк Аркада 
заселение с ноября
оплата 90к (ком услуга включена) 
за фотками в лс @sagynbayeva1"
2024-10-17T23:45:20,"всем привет😁
ищу 1-2 девочек вместе кв снимать, найдем туда сюда, оставьте плюсик, напишу вам, зайки 🙂‍↕️"
2024-10-17T16:54:59,"Всем привет! Ищу девочку (чистоплотную, ответственную) на подселение  квартира 2х комнатная, через дорогу от университета. 100к (можно обговорить цену)"
2024-10-17T16:54:40,"🌟 ищу двух девушек на подселение! 🌟

🏡 ЖК Sunrise, Сыганак 11
Квартира просторная, с уютной гардеробной и свежим ремонтом. 

- Коммунальные услуги включены в стоимость
- Ваш ежемесячный вклад: 70 000 тенге

📸 Фото квартиры могу отправить в личные сообщения.

Заинтересовались? Пишите по номеру:
📞 +7 776 223 4380

Будем рады видеть вас! 😊"
2024-10-16T16:07:13,"Ищу 1 девушку на подселение🫶🏻
Чистоплотную, платежеспособную. 
Жк Сеным, 5 минут пешком до универа. 
Оплата 95к+коммуналка. 
Будем жить вдвоем. 
2 комнатная студия. Все условия есть. 
Оставьте +, напишу."
2024-10-16T15:31:24,"Ищу девушку для подселение. Жк мечта рядом с универом.
Двушка полностью меблированная. 100к +ком услуги. Будем жить вдвоем. ( сама работаю) Ищу платежеспособную и аккуратную девушку. 
Заселение 12-14 ноября 
Если интересно оставьте + сама с вами свяжусь!"
2024-10-15T17:53:31,"привет, ищу к кому подселиться. близко к унику, 60-70к🥹
чистоплотная, неконфликтная, не пикми.
писать в тг: @oruchokak"
2024-10-15T15:42:06,"Ищу 1 девушку на подселение🫶🏻
-будем жить вдвоем
-квартира 2х комнатная, просторная, чистая и уютная
-жк Аркада 5 минут пешком до универа
-ищу чистоплотную, спокойную девушку
-оплата 100к (ком. услуга включена)
- заселение с ноября
 Если интересно оставьте + сама с вами свяжусь☺️"
2024-10-14T20:21:14,"Всем Привет! 
Ищу 2 девочек на 1 комнатную квартиру (нас будет 3) не конфликтных,не пьющих,не курящих ,без вредных привычек,чистоплотных  и конечно же платежеспособных.Квартира с новым ремонтом(39м2) и очень хорошая.Жк Мадрид от универа 20 мин.Заселение можно с ноября месяца,в месяц 86к + комм услуги
Можете написать на ватсап по номеру: 8-747-769-72-72"
2024-10-13T21:56:44,"Всем привет
Ищу к кому (к девушкам) подселиться
критерии: близко к мну, бюджет до 90к, желательно жить вдвоем

Сама платежеспособная, чистоплотная, неконфликтная
Оставьте плюс, сама напишу"
2024-10-13T21:49:00,"Ищем 4-ую девушку на подселение. Жк Комсомольский 15 минут пешком, 55к в месяц. 2 комнатная кв с хорошим ремонтом. 
Важно чтоб была чистоплотная, платежоспособная, не конфликтная, так как мы сами спокойные. ЗАСЕЛЕНИЕ с 26-27 октября. Напишите +, я сама вам напишу)"
2024-10-13T21:48:49,"привет, ищу девочек к кому подселиться. критерии по дефолту: близко, 50-60к в месяц. оставьте +, напишу"
2024-10-13T18:57:11,"всем привет. срочно ищу платежеспособного и чистоплотного пацана с кем можно будет найти и вместе снимать квартиру, либо к кому подселится.
оставьте плюс в комментариях."
2024-10-12T23:31:40,"срочно очень срочно ищем девочку  на подселение, большая просторная двухкомнатная квартира в жк sani towers 
находится рядом со смоллом, недалеко от универа, оплата 50к+ ком услуги
нас будет четверо, по две девочки в каждой комнате

фото в лс скину, писать @aiymeow"
2024-10-12T22:54:08,"Квартира недалеко от МНУ
Цена: 230-260 (ТОРГ ЕСТЬ), можно подселять, несколько человек осилите
Описание: 
Хорошая уютная квартира в центре города, светлая с видом на улицу, дом 2019 года ремонт свежий, все удобства для жизни устроены, фильтрованная вода в квартире, солнечная сторона, один балкон смотрит во двор, другой на улицу
Вся меблированная, все остается, большой шкаф для одежды, смарт телевизор, интернет, микроволновая печь, гладильная доска, шторы, ролл-шторы и тд
КазУТБ Гипермаркет смолл, магнум. 
Соседи не шумные, двор благополучный детская площадка, футбольное поле
Рядом с домом ездят 20 автобусов во все точки города:7,17,44,42,45,35,36,305,312
Звоните пишите в любое время, на длительный срок
+77477715105"
2024-10-12T21:45:49,"Ищу девушку на подселение , квартира находится рядом с универом , минут 15, двух комнатная квартира , будем жить вдвоем , по подробностям оставьте + я вам напишу"
2024-10-11T00:24:16,"Ищем девочку на подселение. ЖК Мадрид, 2 комнатная квартира, очень просторная, в 20 минутах ходьбы от Казгюу. Нас 4, все работаем с утра до вечера, живем вместе давно, поэтому очень дружны. Ждем от вас того же🫶🏻 Идеально подойдет тем, кто также работает и ищет недорогое жилье (36к+комм услуги). Оставь +, если интересно, напишу сама)"
2024-10-08T14:37:32,"Всем привет , ищу двух девушкк к себе на подселение . 
Жк Сат сити , рядом с уриверситетом . 
Нас 2 , мну 2 курс 
Заселение желательно до конца месяца . 
Квартира чистая , новая , ремонт евро . Интернет все есть. Полноценная двушка. (70кв2м) 
Работаем и учимся . 
Можете написать + , сама вам напишу"
2024-10-07T22:54:48,"Ищем 4-ю девушку на подселение. Квартира находится в 15 минутах ходьбы от университета. В квартире есть все необходимое. Выходит 55 тысяч в месяц(депозит 100тыс), евродвушка (43км2). Мы ищем добропорядочную, чистоплотную и платежеспособную девушку. Для более подробной информации оставьте + в комментариях"
2024-10-07T22:09:56,"Привет ищу 2 девушек
60к комуналка внутри
возле КазУТБ и МНУ
Заселение можно хоть щас
пишите + я вам напиши 
или можете написать в лс @chatte_k
фото видео и подробности пришлю"
2024-10-07T19:21:10,"Здравствуйте, ищу девушку на подселение, спокойную,чистоплотную.Квартира находится на улице Кенесары, новая жк, будем жить только двоем. Оплата за месяц 90к+ коммуналка."
2024-10-06T22:05:52,"всем привет! ищу девочку на подселение на 2 семестр,самое главное чтобы вы была неконфликтной, чистоплотной, платежеспособной, спокойной и весёлой! Сама квартира недалеко от MNU. Оплата за месяц +-90 000 тг 
будем жить только вдвоем!!!
оставляйте +,напишу"
2024-10-06T16:25:37,"всем привет, ищу к кому можно подселиться с ноября
я девушка, 18 лет, 1 курс mnu
спокойная, чистоплотная, неконфликтная, без вредных привычек 
бюджет 50-90к
напишите плюс, сама напишу"
2024-10-06T14:42:22,"Ищем девушку для подселения в новую квартиру рядом с университетом
(20 минут пешком). Квартира с новым ремонтом и удобным местоположением, рядом остановки. Будем жить втроем. Ищу не конфликтную, без вредных привычек и платежеспособную. Я сама спокойная, уважаю личное пространство и ценю комфорт.
Оплата 60к +ком услуги 
оставляйте +, напишу сама"
2024-10-06T01:32:50,"Ищем на подселение 1 девочку! 
Заселяться можете сразу. 
2-х комнатная квартира, 85кв/м.
В 10 минутах от универа. 
Цена: 70к (ком.услуга включена) 
Квартиру всегда держим в чистоте.
Ищем девочку без вредных привычек.

@hea_veenly"
2024-10-05T19:59:36,"Ищу девушку на подселение, будем жить вдвоем, 
Жк Сеным, 2 комнатная студия, все условия есть, оплата 95к+ коммуналка. 
Оставьте +, я вам напишу."
2024-10-04T11:44:20,"Всем привет! 
Ищем на подселение одну девушку 
Заезд можно с завтрашнего дня.
Квартира не далеко от университета, 15 минут ходьбы.
Будем жить втроем 
Квартира теплая,светлая, просторная 
Бюджет 50к + ком услуги
Ставьте + сами напишем, скинем фотографии адрес"
2024-10-03T20:35:06,"Всем привет, ищем к кому подселиться рядом с университетом 
2 девушки, мну 2 курс
Заселение желательно в этом месяце
Не пьем, не курим, готовим, следим за чистотой
Можете написать в комменты,  или мне @sabinasrd"
2024-10-03T14:00:13,"Подселениеге 5-қыз іздеп жатырмыз. Ұқыпты, таза, тыныш, мінезі жақсы қыз керек Орналасу ертең кешке қарай. 2 жатын бөлме және кухня-студия. ЖК Энергетик
+ қалдырсаңыздар өзіміз жазамыз"
2024-10-01T23:04:39,"Всем привет, к кому можно подселиться, 2 курс, it в бизнесе, чистоплотный,не пью, не курю, за аренду заплачу, желательно рядом с казгюу"
2024-10-01T21:53:19,"Ищу 2 девушек на подселение, платежеспособных, чистоплотных. 2 комнатная студия. Квартира в 5-10 минутах ходьбы до уни, оплата 63к с каждого +коммуналка. 
Оставьте +, я сама вам напишу."
2024-10-01T12:55:26,"ищу к кому подселиться мну 1 курс. сама чистоплотная, не конфликтная и не имею вредных привычек. ищу квартиру рядом с уником, оплата 50к-70к. ставьте + сама напишу"
2024-09-30T14:56:19,"Здравствуйте!
Ищем на подселение одну девушку
Заезд до 1 октября желательно‼️
Без вредных привычек,чистоплотная
Возраст:18-25
Адрес:Анет баба 9/1А
Жк Онер-2
в 15-20 минутах ходьбы до универа,на автобусе 5-7 мин
Оплата 46к+комм с каждого
Будем жить втроем
Квартира теплая,светлая,уютная
Остановка рядом,магазины тоже
Можете написать на ватсап,скину фото:87075021634"
2024-09-29T20:35:15,"Ищем девушку на подселение в sat city, оплата 55к+ком, по всем вопросам @asylzhan200"
2024-09-29T20:22:38,"Ищем 4го парня в евродвушку, квартира с новым ремонтом на правом берегу, в 35 минутах от уника. 45к в месяц. На октябрь только, к ноябрю планируем переселиться близко к унику все вместе. Оставьте плюс, сам напишу."
2024-09-29T19:11:35,"Добрый вечер
Ищу одну девушку из КАЗГЮУ на подселение без вредных привычек. Жк Алтын сапа. 15мин пешком. Можно хоть завтра заселяться. Сумма 100К+коммуналка, Двух комнатная квартира.
По всем вопросам @meruushaa"
2024-09-28T23:11:03,Ищем одну девушку из КАЗГЮУ на подселение без вредных привычек. Жк Амстердам. Можно хоть завтра заселяться. Сумма 60-70к. По всем вопросам @seninayinn
2024-09-28T19:36:31,Всем салам! Ищу 1 пацана на подселение не курящий не пьющий главное чистоплотный. Будем жить втроем кв самая обычная 60к+ ком услуги. Жк Мечта Култегин 15 1ком. Оставьте внизу + сам напишу
2024-09-28T19:18:05,"срочно ищем 1 девушку на подселение. без вредных привычек, не конфликтную и чистоплотную. кв находится на анет баба, двушка со всеми удобствами. можно заселяться хоть завтра. ставьте + сама напишу"
2024-09-28T13:16:34,"Ищем третью девочку на подселение, чистоплотную, без вредных привычек. Двухкомнатная квартира, 60тыс + ком услуги, Жк Сенім, 5 минут от МНЮ, есть все удобства. Мы сами не конфликтные и дружелюбные. 

Подселение начиная с примерно ноября. Напишите «+» или по телеграмм @nuray_b1m"
2024-09-27T23:54:55,"Всем привет 
Ищу к кому подселиться, 1 курс казгую 
Особо не готовлю,парю,не конфликтная.Нужен уник около казгюу
Отпишитесь 🙏🏼"
2024-09-27T21:55:13,"Ищу 2 девушек на подселение, платежеспособных, чистоплотных, не конфликтных. Я сама на 2 курсе. Квартира в 5-10 минутах ходьбы до уни, оплата 63к с каждого +коммуналка. Оставьте +, я сама вам напишу."
2024-09-27T17:52:35,"Привет свободна одна комната, ищу 2 девушек.

60к ком услуги внутри

@chatte_kk пишите если интересно"
2024-09-27T14:55:40,"Всем привет
Ищем 3-ую девушку на подселение с октября на долгий срок, дружелюбную без вредных привычек
Кв 1комнатная (кухня студия) и находится недалеко от хан шатыра
За месяц 54к + ком услуги"
2024-09-27T12:39:33,"Ищем 3-го подселенца с октября, без вредных привычек, чистоплотный не пьющий не курящий, култегин 15 жк мечта, в месяц по 60к+ комм услуги"
2024-09-26T21:25:44,"ищем одну девушку из КАЗГЮУ на подселение. мы сами неконфликтные, добрые, чистоплотные, вредных привычек не имеем и ищем таких же. жк находится на анет баба. квартира двухкомнатная со всеми удобствами. перед домом стоит остановка, на автобусе до уника 8-13мин, на машине 5мин, пешком 20-25мин. по всем вопросам @seninayinn"
2024-09-26T19:27:39,"Сдаётся 1-комнатная квартира в ЖК ""Эмир""!

- Расположение: рядом с университетом, всего 5-10 минут пешком.
- Просторная квартира, 41 кв.м.
- Отдельная кухня, в зале диван (на 2 человека), кровать (на 2 человека), 3 шкафа и тумба с 4 выдвижными ящиками, на которой установлен телевизор с доступом к интернету (YouTube, Google, Кинопоиск и др.).
- Совмещённый санузел, стиральная машина LG.
- Кухня полностью оборудована: стол, стулья, кухонный гарнитур, плита, духовка, микроволновка, холодильник. Часть посуды остаётся.
- Просторный балкон с выходом из кухни.
- Квартира тёплая, светлая, всё новое.

Стоимость: 200 000 тг в месяц.  
Заселение возможно с 15 октября

ТОЛЬКО ДЕВОЧКАМ"
2024-09-26T19:12:55,"Всем привет, ищем одну девочку подселение. мы сами неконфликтные, добрые, чистоплотные, ищем таких же
жк Эмир, находится недалеко от уника, пешком 10 - 15 минут, жк хороший, квартира однокомнатная, квадратура большая, все необходимое для проживания есть, в комнате будет 3 девочки(кровать на двоих и диван)
Оплата 50к + 6 - 8к комм услуги с вайфаем
Заселение в первых числах октября
По всем вопросам пишите @sabinasrd"
2024-09-26T17:41:10,"Всем привет! 
Ищем соседку в ЖК SatCity, недалеко от КазГЮУ.  Нас трое, ищем четвёртую. По две девочки на комнату. Заселение с начала октября.
Цена: 57 500 тенге в месяц (включая коммуналку).
На один семестр, до февраля

Пишите +, напишу сама."
2024-09-26T17:35:49,"Ищу квартиру на подселение. Переезжаю в Астану в середине октября, чистоплотная, платежеспособная. Переезд связан с работой, т.е с меня регулярная оплата. Квартиру ищу на левом берегу, желательно около Ботанического сада. бюджет до 95.000. 
По вопросам писать в тг: @sailorvener. Или ставьте плюсики, напишу сама."
2024-09-26T12:46:43,"Ищу пацана для подселения в квартиру рядом с МНУ (10-15 минут пешком). Квартира с новым ремонтом и удобным местоположением, рядом остановки. Будем жить втроем. Ищу 1-2курс,  порядочного, без вредных привычек и платежеспособного.
оставляйте +, я напишу"
2024-09-24T20:41:41,"Ищу на подселение 1 девушку, чистоплотную, неконфликтную, платежеспособную, без вредных привычек
Район Нура, жк Anisa, новая 2-х комнатная квартира, 10-15 минут пешком до универа
Бюджет на одного человека 80К с учетом ком услуг
Сама порядочная, чистоплотная, спокойная, уважаю личные границы 
Заселение с 29 сентября

Оставляйте + в комментах, напишу и отправлю фотки🫶🏻"
2024-09-24T14:37:44,"Ищу на поселение одну девушку 
Самое главное чистоплотную 
Район Туран новое жк,квартира новая 65000 +.ком услуги 
Дорогая моя будущая соседка 🥺надеюсь мы подружимся , насчет того как добраться в уни не переживай, буду подвозить 🫶🏻
Отправляйте плюсики в коммы  фотки отправлю и напишу"
2024-09-24T14:34:14,"Срочно куплю квартиру 
До 24 млн (без ипотеки и долгов)
Прошу обращаться @mandarinoko"
2024-09-24T14:21:19,"ищу платежеспособного, чистоплотного пацана чтобы вдвоем снимать квартиру. с 14 октября, бюджет 70к-90к

оставляйте в комментах +, напишу"
2024-09-23T21:06:51,Ищу на подселение девушек. Квартира рядом с МНУ. 1 комнатная. Для подробной информации можете связаться со мной @MarkoEvs
2024-09-23T12:12:54,"Срочно ищу кому подселится с 25 числа  ,сама порядочная без вредных привычек бюджет 50-75к"
2024-09-23T12:03:06,"всем привет! ищу девочку на подселение,самое главное чтобы вы была неконфликтной, чистоплотной, платежеспособной, спокойной и весёлой! Сама квартира недалеко от MNU. Оплата за месяц +-90 000 тг 
будем жить только вдвоем!!!
оставляйте +,напишу"
2024-09-22T23:24:28,"Ищу 4 девушку на подселение. Квартира на Айтматова, двушка. 
Заселение с октября 🙌🏻
Стоимость: 55.000 + ком услуги. 
Если есть вопросы, оставляйте плюс в комментариях, свяжусь сама 🤍"
2024-09-22T23:16:50,"Всем привет!
Ищем одну девушку на подселение в квартиру возле MNU (5 минут пешком). Главное, чтобы вы были неконфликтной, чистоплотной, платежеспособной, спокойной и весёлой! Заселение с 25 сентября. Оплата за месяц — 66 000 тг (включая коммунальные услуги). @ukim1n обращайтесь"
2024-09-22T23:04:40,"ищем двух девочек на подселение. мы сами неконфликтные, добрые, чистоплотные, вредных привычек не имеем и ищем таких же. жк находится на анет баба. квартира двухкомнатная со всеми удобствами (есть стиральная машина, посудомоечная, 3 телевизора, ремонт свежий), квадратура большая. перед домом стоит остановка, на автобусе до уника 8-13мин, на машине 5мин, пешком 20-25мин. по всем вопросам @bobekka💗"
2024-09-22T22:54:58,"Всем привет! Ищем на подселение одну девушку, неконфликтная, чистоплотная, Платежноспособная, спокойная и веселую!! ЖК Copenhagen, 1 комнатная квартира!!!!! СРОЧНО, пишите на @zhaniysha"
2024-09-22T20:10:06,"ищем двух девочек на подселение. мы сами неконфликтные, добрые, чистоплотные, вредных привычек не имеем и ищем таких же. жк находится на анет баба. квартира двухкомнатная со всеми удобствами (есть стиральная машина, посудомоечная, 3 телевизора, ремонт свежий), квадратура большая. перед домом стоит остановка, на автобусе до уника 8-13мин, на машине 5мин, пешком 20-25мин. аренда 67.500тг без учета комуслуг"
2024-09-21T17:08:09,"Ищу одну девочку на подселение, будем жить втроём.
Жк рядом с универом (25 минут пешом/15 минут на автобусе/6-7 минут на машине), 2 комнатная новая кв, есть интернет, рядом с домом все удобства, кафешки, магазины, тд.
Сама я неконфликтная, дружелюбная
65к в месяц (с учетом ком услуг) 
Если заинтересованы, пишите в лс @ishmurdinova"
2024-09-21T17:07:56,"ищем 2 девушек на подселение, чтобы были без вредных привычек, не конфликтные и чистоплотные. кв находится в жк амстредам (анет баба) квадратура большая, ремонт свежий, сам дом уютный и теплый. оплата за месяц 67500 тг (без комуслуг). заселение на след неделе. на автобусе до казгюу 10-13мин.  можно подселяться ставьте + сами напишем"
2024-09-20T22:15:19,"Всем привет , ищу одну девушку на подселение будем жить двоем , кв возле универа . Ищу чистоплотную не конфликтную без вредных привычек. Бюджет на одного человека 75к с учетом ком услуги. Оставь + сама напишу"
2024-09-20T21:13:44,"Всем привет 🙌🏼
Ищу 1 девушку на подселение в 2-х комнатную квартиру. Будем жить вдвоем. 
Оплата 90к включая коммунальные услуги.( цена договорная ) 
Расположение на левом берегу, в районе ботанического сада
Рядом автобусная остановка 
без пересадок. 
Квартира с евроремонтом
WI-FI, мебель, посудомоечная машина, техника имеется, отдельный гардероб есть. Квартира уютная и теплая 
Обращаться по номеру: 8 777 287 33 57 
Тг: sofiyatttt"
2024-09-20T20:16:18,"❗️Срочно ❗️ Ищем одну девушку на подселение. Заселение с ОКТЯБРЯ. Кв на Айтматова. Двушка, будем жить четыре девочек. Оставьте плюс в комментариях, свяжусь сама!"
2024-09-20T20:00:53,"Ищем 3-го подселенца с октября, не курящий и не пьющий, чистоплотный, с приоритетом на учебу, сами такие же, квартира новая и просторная возле казгюу, кто хочет + в комменты и я сам свяжусь"
2024-09-20T19:56:42,"ищу 2х девушек на подселение, платежеспособные ,ответственные, чистоплотные 

квартира в 10мин от универа, евро двушка 
можете заселятся хоть сегодня, оплата 60к+ комм услуги делим 

@nazekajan"
2024-09-20T18:55:38,"📍СРОЧНО📍Ищу девушку на подселение 1 комнатная квартира 50к +ком ус, 10-15мин на машине, ремонт не вау, будем жить 2ом"
2024-09-19T20:59:15,"Ищу к кому подселиться (только девушки). Желательно в 10-15 минутах ходьбы от универа. Чистоплотная, без вредных привычек, неконфликтная, 1 курс мну
Бюджет 50-70к 
Подселиться планирую в начале октября"
2024-09-19T14:58:49,"парень, ищу человека с кем можно вместе снять двушку за 200к рядом с уником. Поделим пополам 100к с человека. Не курю не пью нет вредных привычек 
@shixhdks"
2024-09-19T14:56:59,"Ищем 2х девушек на подселение, чистоплотные, платежеспособные, ответственные

у меня 3 комнаты,одна из комнат занята двумя студентками, в другой я сама, и вот еще одна свободна, ищем 2х девушек
рядом МНУ и КазУТБ
Заселение как только так сразу.
55к + ком.услуги(около 5к)
+депозит за две недели, если вдруг захотите сьехать что бы мы были застрахованы, сообщаете о том что сьезжаете и доживаете 2 недели за счет того депозита.
 
еще с нами живет очень милый британский котик(могу отправить его фоточки)

Если интересно пишите +77713727253 
@chatte_k"
